[2025-04-11 09:20:52] ==================================================
[2025-04-11 09:20:52] Study of the Shastry-Sutherland Model
[2025-04-11 09:20:52] ==================================================
[2025-04-11 09:20:52] System parameters: L=3, N=36
[2025-04-11 09:20:52]   - System size: L=3, N=36
[2025-04-11 09:20:52]   - System parameters: J1=0.8, J2=1.0, Q=0.0
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Model parameters:
[2025-04-11 09:21:03]   - Number of layers = 4
[2025-04-11 09:21:03]   - d_model = 32
[2025-04-11 09:21:03]   - Number of heads = 4
[2025-04-11 09:21:03]   - Patch size = 2
[2025-04-11 09:21:03]   - Symmetries used: 72
[2025-04-11 09:21:03]   - Total parameters = 23344
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Training parameters:
[2025-04-11 09:21:03]   - Learning rate: 0.035->0.0245
[2025-04-11 09:21:03]   - Total annealing steps: 1200
[2025-04-11 09:21:03]   - Samples: 4096
[2025-04-11 09:21:03]   - Discarded samples: 0
[2025-04-11 09:21:03]   - Chunk size: 1024
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Device status:
[2025-04-11 09:21:03]   - Number of devices: 2
[2025-04-11 09:21:03]   - Sharding: True
[2025-04-11 09:21:03] --------------------------------------------------
[2025-04-11 09:21:03] Start training...
[2025-04-11 09:22:03] Iteration: 0/1200, LR: 0.035000, Temp: 0.5000, Energy: -0.132727-0.044667j, Rel_err(%): 99.1843
[2025-04-11 09:22:22] Iteration: 1/1200, LR: 0.034990, Temp: 0.4901, Energy: -0.307944-0.005691j, Rel_err(%): 98.1065
[2025-04-11 09:22:42] Iteration: 2/1200, LR: 0.034979, Temp: 0.4804, Energy: -0.367836+0.009457j, Rel_err(%): 97.7382
[2025-04-11 09:23:02] Iteration: 3/1200, LR: 0.034969, Temp: 0.4709, Energy: -0.402677-0.023986j, Rel_err(%): 97.5241
[2025-04-11 09:23:22] Iteration: 4/1200, LR: 0.034958, Temp: 0.4616, Energy: -0.611064-0.013001j, Rel_err(%): 96.2427
[2025-04-11 09:23:41] Iteration: 5/1200, LR: 0.034948, Temp: 0.4524, Energy: -0.565109+0.016663j, Rel_err(%): 96.5253
[2025-04-11 09:24:01] Iteration: 6/1200, LR: 0.034938, Temp: 0.4435, Energy: -0.623866-0.046917j, Rel_err(%): 96.1644
[2025-04-11 09:24:21] Iteration: 7/1200, LR: 0.034927, Temp: 0.4347, Energy: -0.728379+0.009489j, Rel_err(%): 95.5213
[2025-04-11 09:24:40] Iteration: 8/1200, LR: 0.034917, Temp: 0.4261, Energy: -0.828813+0.004167j, Rel_err(%): 94.9037
[2025-04-11 09:25:00] Iteration: 9/1200, LR: 0.034906, Temp: 0.4176, Energy: -0.915851-0.039358j, Rel_err(%): 94.3688
[2025-04-11 09:25:20] Iteration: 10/1200, LR: 0.034896, Temp: 0.4094, Energy: -0.962205-0.040494j, Rel_err(%): 94.0838
[2025-04-11 09:25:40] Iteration: 11/1200, LR: 0.034886, Temp: 0.4013, Energy: -1.163777-0.019052j, Rel_err(%): 92.8441
[2025-04-11 09:25:59] Iteration: 12/1200, LR: 0.034875, Temp: 0.3933, Energy: -1.134645+0.000279j, Rel_err(%): 93.0232
[2025-04-11 09:26:19] Iteration: 13/1200, LR: 0.034865, Temp: 0.3855, Energy: -1.291744+0.027770j, Rel_err(%): 92.0574
[2025-04-11 09:26:39] Iteration: 14/1200, LR: 0.034855, Temp: 0.3779, Energy: -1.295263-0.005134j, Rel_err(%): 92.0356
