[2025-02-24 07:16:23] 
==================================================
[2025-02-24 07:16:23] Starting calculation for L=4, J2=0.8
[2025-02-24 07:16:23] ==================================================
[2025-02-24 07:16:23] System size: L=4, N=16
[2025-02-24 07:16:23] Parameters: J1=1.0, J2=0.8
[2025-02-24 07:16:23] Optimization parameters:
[2025-02-24 07:16:23]   - Learning rate: 0.005
[2025-02-24 07:16:23]   - Number of iterations: 10000
[2025-02-24 07:16:23]   - Number of samples: 4096
[2025-02-24 07:16:23]   - Number of samples to discard: 0
[2025-02-24 07:16:23]   - Chunk size: 1024
[2025-02-24 07:16:23] --------------------------------------------------
[2025-02-24 07:16:26] Number of parameters = 11328
[2025-02-24 07:16:26] Starting optimization...
[2025-02-24 07:16:37] Step 0/10000: Current Total Energy = 13.773413-0.011405j
[2025-02-24 07:18:09] Step 100/10000: Current Total Energy = 11.567639+0.110833j
[2025-02-24 07:19:39] Step 200/10000: Current Total Energy = 8.816758-0.036288j
[2025-02-24 07:21:08] Step 300/10000: Current Total Energy = 5.555020-0.039108j
[2025-02-24 07:22:39] Step 400/10000: Current Total Energy = 2.695962+0.001161j
[2025-02-24 07:24:09] Step 500/10000: Current Total Energy = 0.171092+0.091670j
[2025-02-24 07:25:39] Step 600/10000: Current Total Energy = -2.144730+0.038300j
[2025-02-24 07:27:08] Step 700/10000: Current Total Energy = -4.299147+0.055980j
[2025-02-24 07:28:38] Step 800/10000: Current Total Energy = -5.975438-0.006151j
[2025-02-24 07:30:08] Step 900/10000: Current Total Energy = -7.033985-0.039356j
[2025-02-24 07:31:38] Step 1000/10000: Current Total Energy = -7.796198-0.018110j
[2025-02-24 07:33:08] Step 1100/10000: Current Total Energy = -8.314917-0.026678j
[2025-02-24 07:34:38] Step 1200/10000: Current Total Energy = -8.836008-0.010785j
[2025-02-24 07:36:09] Step 1300/10000: Current Total Energy = -9.222184-0.013007j
[2025-02-24 07:37:38] Step 1400/10000: Current Total Energy = -9.393380-0.002426j
[2025-02-24 07:39:08] Step 1500/10000: Current Total Energy = -9.546640+0.020871j
[2025-02-24 07:40:38] Step 1600/10000: Current Total Energy = -9.683110+0.000225j
[2025-02-24 07:42:08] Step 1700/10000: Current Total Energy = -9.862262-0.009176j
[2025-02-24 07:43:38] Step 1800/10000: Current Total Energy = -9.914815+0.008900j
[2025-02-24 07:45:08] Step 1900/10000: Current Total Energy = -9.968968-0.001394j
[2025-02-24 07:46:38] Step 2000/10000: Current Total Energy = -9.973701-0.003306j
[2025-02-24 07:48:09] Step 2100/10000: Current Total Energy = -9.989090-0.005571j
[2025-02-24 07:49:39] Step 2200/10000: Current Total Energy = -9.999389+0.001274j
[2025-02-24 07:51:09] Step 2300/10000: Current Total Energy = -10.009458+0.001757j
[2025-02-24 07:52:39] Step 2400/10000: Current Total Energy = -10.016199-0.000694j
[2025-02-24 07:54:09] Step 2500/10000: Current Total Energy = -10.015867+0.001770j
[2025-02-24 07:55:39] Step 2600/10000: Current Total Energy = -10.017280-0.000137j
[2025-02-24 07:57:09] Step 2700/10000: Current Total Energy = -10.018017+0.002377j
[2025-02-24 07:58:39] Step 2800/10000: Current Total Energy = -10.020534-0.000112j
[2025-02-24 08:00:09] Step 2900/10000: Current Total Energy = -10.019300-0.000209j
[2025-02-24 08:01:39] Step 3000/10000: Current Total Energy = -10.019291-0.000439j
[2025-02-24 08:03:10] Step 3100/10000: Current Total Energy = -10.021137+0.000724j
[2025-02-24 08:04:40] Step 3200/10000: Current Total Energy = -10.017094+0.001623j
[2025-02-24 08:06:10] Step 3300/10000: Current Total Energy = -10.020131+0.000472j
[2025-02-24 08:07:40] Step 3400/10000: Current Total Energy = -10.021945-0.000236j
[2025-02-24 08:09:11] Step 3500/10000: Current Total Energy = -10.021366-0.000595j
[2025-02-24 08:10:41] Step 3600/10000: Current Total Energy = -10.021872-0.000024j
[2025-02-24 08:12:11] Step 3700/10000: Current Total Energy = -10.022305+0.001319j
[2025-02-24 08:13:41] Step 3800/10000: Current Total Energy = -10.021004+0.000065j
