[2025-04-16 19:05:31] ==================================================
[2025-04-16 19:05:35] GCNN for Shastry-Sutherland lattice
[2025-04-16 19:05:35] ==================================================
[2025-04-16 19:05:35] System parameters:
[2025-04-16 19:05:35]   - System size: L=4, N=64
[2025-04-16 19:05:35]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Model parameters:
[2025-04-16 19:05:41]   - Number of layers = 4
[2025-04-16 19:05:41]   - Number of features = 4
[2025-04-16 19:05:41]   - Symmetries used: 128
[2025-04-16 19:05:41]   - Total parameters = 12572
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Training parameters:
[2025-04-16 19:05:41]   - Learning rate: 0.02
[2025-04-16 19:05:42]   - Total annealing steps: 1000
[2025-04-16 19:05:42]   - Samples: 4096
[2025-04-16 19:05:42]   - Discarded samples: 0
[2025-04-16 19:05:42]   - Chunk size: 1024
[2025-04-16 19:05:42] --------------------------------------------------
[2025-04-16 19:05:42] Device status:
[2025-04-16 19:05:42]   - Number of devices: 4
[2025-04-16 19:05:42]   - Sharding: False
[2025-04-16 19:05:49] --------------------------------------------------
[2025-04-16 19:05:49] Start training...
[2025-04-16 19:06:11] Iteration: 0/1000, Temp: 0.5000, Energy: 1.359425-0.000153j, Rel_err(%): 102.5046
[2025-04-16 19:06:16] Iteration: 1/1000, Temp: 0.4901, Energy: 1.357052-0.000414j, Rel_err(%): 102.5002
[2025-04-16 19:06:21] Iteration: 2/1000, Temp: 0.4804, Energy: 1.358805-0.000009j, Rel_err(%): 102.5034
[2025-04-16 19:06:26] Iteration: 3/1000, Temp: 0.4709, Energy: 1.357640-0.000365j, Rel_err(%): 102.5013
[2025-04-16 19:06:32] Iteration: 4/1000, Temp: 0.4616, Energy: 1.357660-0.000138j, Rel_err(%): 102.5013
[2025-04-16 19:06:37] Iteration: 5/1000, Temp: 0.4524, Energy: 1.356251+0.000139j, Rel_err(%): 102.4987
[2025-04-16 19:06:42] Iteration: 6/1000, Temp: 0.4435, Energy: 1.357254-0.000371j, Rel_err(%): 102.5006
[2025-04-16 19:06:47] Iteration: 7/1000, Temp: 0.4347, Energy: 1.355795-0.000527j, Rel_err(%): 102.4979
[2025-04-16 19:06:52] Iteration: 8/1000, Temp: 0.4261, Energy: 1.354371-0.000404j, Rel_err(%): 102.4953
[2025-04-16 19:06:58] Iteration: 9/1000, Temp: 0.4176, Energy: 1.356920-0.000411j, Rel_err(%): 102.5000
[2025-04-16 19:07:03] Iteration: 10/1000, Temp: 0.4094, Energy: 1.355074-0.000340j, Rel_err(%): 102.4966
[2025-04-16 19:07:08] Iteration: 11/1000, Temp: 0.4013, Energy: 1.355243-0.001041j, Rel_err(%): 102.4969
[2025-04-16 19:07:13] Iteration: 12/1000, Temp: 0.3933, Energy: 1.356741+0.000577j, Rel_err(%): 102.4996
[2025-04-16 19:07:18] Iteration: 13/1000, Temp: 0.3855, Energy: 1.357252+0.000484j, Rel_err(%): 102.5006
[2025-04-16 19:07:24] Iteration: 14/1000, Temp: 0.3779, Energy: 1.355764-0.000460j, Rel_err(%): 102.4978
[2025-04-16 19:07:29] Iteration: 15/1000, Temp: 0.3704, Energy: 1.355312+0.000805j, Rel_err(%): 102.4970
[2025-04-16 19:07:34] Iteration: 16/1000, Temp: 0.3631, Energy: 1.353991-0.001705j, Rel_err(%): 102.4946
[2025-04-16 19:07:39] Iteration: 17/1000, Temp: 0.3559, Energy: 1.350578-0.001164j, Rel_err(%): 102.4883
[2025-04-16 19:07:44] Iteration: 18/1000, Temp: 0.3488, Energy: 1.352128+0.000212j, Rel_err(%): 102.4911
[2025-04-16 19:07:49] Iteration: 19/1000, Temp: 0.3419, Energy: 1.353400+0.001234j, Rel_err(%): 102.4935
[2025-04-16 19:07:55] Iteration: 20/1000, Temp: 0.3352, Energy: 1.351191-0.000042j, Rel_err(%): 102.4894
[2025-04-16 19:08:00] Iteration: 21/1000, Temp: 0.3285, Energy: 1.346712-0.000234j, Rel_err(%): 102.4812
[2025-04-16 19:08:05] Iteration: 22/1000, Temp: 0.3220, Energy: 1.345105-0.001812j, Rel_err(%): 102.4782
[2025-04-16 19:08:10] Iteration: 23/1000, Temp: 0.3156, Energy: 1.344316-0.001682j, Rel_err(%): 102.4767
[2025-04-16 19:08:16] Iteration: 24/1000, Temp: 0.3094, Energy: 1.348835-0.000119j, Rel_err(%): 102.4851
[2025-04-16 19:08:21] Iteration: 25/1000, Temp: 0.3033, Energy: 1.344050+0.001820j, Rel_err(%): 102.4762
