[2025-04-16 00:48:17] ==================================================
[2025-04-16 00:48:17] GCNN for Shastry-Sutherland lattice
[2025-04-16 00:48:17] ==================================================
[2025-04-16 00:48:17] System parameters:
[2025-04-16 00:48:17]   - System size: L=5, N=100
[2025-04-16 00:48:17]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Model parameters:
[2025-04-16 00:48:24]   - Number of layers = 4
[2025-04-16 00:48:24]   - Number of features = 4
[2025-04-16 00:48:24]   - Symmetries used: 200
[2025-04-16 00:48:24]   - Total parameters = 19628
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Training parameters:
[2025-04-16 00:48:24]   - Learning rate: 0.02
[2025-04-16 00:48:24]   - Total annealing steps: 1000
[2025-04-16 00:48:24]   - Samples: 4096
[2025-04-16 00:48:24]   - Discarded samples: 0
[2025-04-16 00:48:24]   - Chunk size: 1024
[2025-04-16 00:48:24] --------------------------------------------------
[2025-04-16 00:48:24] Device status:
[2025-04-16 00:48:24]   - Number of devices: 4
[2025-04-16 00:48:24]   - Sharding: False
[2025-04-16 00:48:31] --------------------------------------------------
[2025-04-16 00:48:31] Start training...
[2025-04-16 00:49:10] Iteration: 0/1000, Temp: 0.5000, Energy: 2.124196-0.000328j, Rel_err(%): 103.9136
[2025-04-16 00:49:24] Iteration: 1/1000, Temp: 0.4901, Energy: 2.124298+0.000157j, Rel_err(%): 103.9138
[2025-04-16 00:49:38] Iteration: 2/1000, Temp: 0.4804, Energy: 2.124336+0.000316j, Rel_err(%): 103.9138
[2025-04-16 00:49:53] Iteration: 3/1000, Temp: 0.4709, Energy: 2.124205+0.000017j, Rel_err(%): 103.9136
[2025-04-16 00:50:07] Iteration: 4/1000, Temp: 0.4616, Energy: 2.124014-0.000228j, Rel_err(%): 103.9132
[2025-04-16 00:50:21] Iteration: 5/1000, Temp: 0.4524, Energy: 2.124257+0.000648j, Rel_err(%): 103.9137
[2025-04-16 00:50:36] Iteration: 6/1000, Temp: 0.4435, Energy: 2.124013+0.000628j, Rel_err(%): 103.9132
[2025-04-16 00:50:50] Iteration: 7/1000, Temp: 0.4347, Energy: 2.124115-0.000127j, Rel_err(%): 103.9134
[2025-04-16 00:51:04] Iteration: 8/1000, Temp: 0.4261, Energy: 2.124199-0.000223j, Rel_err(%): 103.9136
[2025-04-16 00:51:18] Iteration: 9/1000, Temp: 0.4176, Energy: 2.123741+0.000342j, Rel_err(%): 103.9127
[2025-04-16 00:51:33] Iteration: 10/1000, Temp: 0.4094, Energy: 2.123315-0.000494j, Rel_err(%): 103.9119
[2025-04-16 00:51:47] Iteration: 11/1000, Temp: 0.4013, Energy: 2.125015-0.000157j, Rel_err(%): 103.9151
[2025-04-16 00:52:01] Iteration: 12/1000, Temp: 0.3933, Energy: 2.124003+0.000369j, Rel_err(%): 103.9132
[2025-04-16 00:52:15] Iteration: 13/1000, Temp: 0.3855, Energy: 2.124112+0.000165j, Rel_err(%): 103.9134
[2025-04-16 00:52:30] Iteration: 14/1000, Temp: 0.3779, Energy: 2.123580+0.000682j, Rel_err(%): 103.9124
[2025-04-16 00:52:44] Iteration: 15/1000, Temp: 0.3704, Energy: 2.123220+0.000366j, Rel_err(%): 103.9118
[2025-04-16 00:52:58] Iteration: 16/1000, Temp: 0.3631, Energy: 2.123699-0.000591j, Rel_err(%): 103.9127
[2025-04-16 00:53:13] Iteration: 17/1000, Temp: 0.3559, Energy: 2.123613-0.000232j, Rel_err(%): 103.9125
[2025-04-16 00:53:27] Iteration: 18/1000, Temp: 0.3488, Energy: 2.124083+0.000249j, Rel_err(%): 103.9134
[2025-04-16 00:53:41] Iteration: 19/1000, Temp: 0.3419, Energy: 2.123330-0.001001j, Rel_err(%): 103.9120
